age,marital_status,education_level,gender,percent_hike,distance_from_home,sourcing_channel,total_rounds,date_1st_contact,date_offered,satisfaction_index,no_companies_worked,career_growth,flexi_work,total_experience,timely_communication,offer_dropped
44,married,Bachelor Degree,Male,11,<15 kms,Consultants,3,27-04-2015,02-06-2015,91,3,Lateral,Yes,20,No,No
26,married,Associate Certification,Male,18,15-20 kms,Consultants,3,21-07-2015,18-09-2015,80,1,Vertical,No,2,No,No
36,married,Associate Degree,Male,17,<15 kms,Company Website,3,02-03-2015,08-04-2015,81,3,Lateral,Yes,12,Yes,No
38,married,Master Degree,Male,11,> 20 kms,Social Media,3,10-10-2015,13-01-2016,95,3,Lateral,Yes,14,No,No
40,married,Master Degree,Male,39,> 20 kms,Consultants,9,12-07-2015,24-09-2015,23,7,Lateral,Yes,16,No,Yes
38,married,Master Degree,Male,18,> 20 kms,Social Media,10,01-01-2016,17-04-2016,21,3,Lateral,Yes,11,No,Yes
37,married,Bachelor Degree,Male,18,<15 kms,Job Portals,3,02-03-2015,03-04-2015,74,8,Lateral,No,13,No,No
32,married,Associate Degree,Male,26,<15 kms,Internal Referrals,8,27-06-2015,13-09-2015,23,6,Lateral,Yes,8,No,Yes
44,single,Associate Certification,Male,10,15-20 kms,Job Portals,8,07-10-2015,22-11-2015,72,6,Vertical,Yes,20,Yes,No
27,single,Associate Degree,Male,27,> 20 kms,Consultants,8,27-12-2015,29-03-2016,30,4,Lateral,Yes,3,No,Yes
44,divorced,Associate Certification,Male,16,> 20 kms,Job Portals,3,01-03-2015,20-05-2015,69,6,Lateral,Yes,20,Yes,No
36,divorced,Associate Certification,Male,16,> 20 kms,Consultants,5,11-11-2015,12-02-2016,52,7,Lateral,Yes,12,Yes,No
37,married,Master Degree,Male,16,> 20 kms,Consultants,7,26-07-2015,02-10-2015,52,3,Lateral,Yes,13,Yes,No
44,married,Associate Degree,Male,13,15-20 kms,Job Portals,10,20-12-2015,13-03-2016,37,7,Lateral,No,20,No,No
34,married,Bachelor Degree,Male,40,> 20 kms,Social Media,10,28-06-2015,16-10-2015,25,3,Lateral,Yes,6,No,Yes
35,married,Bachelor Degree,Male,33,<15 kms,Internal Referrals,8,14-06-2015,20-09-2015,24,3,Lateral,Yes,7,No,Yes
37,married,Associate Certification,Male,28,> 20 kms,Social Media,9,14-10-2015,07-02-2016,27,8,Lateral,Yes,13,No,Yes
30,married,Bachelor Degree,Male,19,<15 kms,Consultants,9,28-01-2016,19-05-2016,16,4,Lateral,Yes,6,No,Yes
33,married,Bachelor Degree,Male,21,> 20 kms,Consultants,10,26-09-2015,12-01-2016,30,3,Lateral,Yes,9,No,Yes
33,single,Associate Degree,Male,23,> 20 kms,Consultants,9,11-08-2015,08-11-2015,26,4,Lateral,Yes,9,No,Yes
31,single,Bachelor Degree,Male,35,> 20 kms,Social Media,10,29-05-2015,04-08-2015,15,5,Lateral,Yes,7,No,Yes
39,single,Associate Degree,Male,26,15-20 kms,Job Portals,7,10-01-2016,15-02-2016,28,6,Vertical,No,15,Yes,No
40,married,Associate Degree,Male,38,> 20 kms,Social Media,10,11-12-2015,03-04-2016,20,8,Lateral,Yes,16,No,Yes
37,married,Associate Certification,Male,14,<15 kms,Social Media,4,17-05-2015,19-08-2015,49,7,Vertical,Yes,13,No,No
30,single,Associate Certification,Male,34,> 20 kms,Job Portals,8,21-06-2015,14-10-2015,16,4,Lateral,Yes,6,No,Yes
40,married,Associate Certification,Male,23,<15 kms,Job Portals,10,17-12-2015,06-04-2016,15,4,Lateral,Yes,10,No,Yes
26,single,Associate Certification,Male,24,<15 kms,Job Portals,8,02-01-2016,07-04-2016,25,1,Lateral,Yes,2,No,Yes
28,single,Associate Certification,Male,16,<15 kms,Social Media,10,23-05-2015,17-09-2015,19,4,Lateral,Yes,4,No,Yes
35,married,Bachelor Degree,Male,10,15-20 kms,Job Portals,5,17-11-2015,01-01-2016,64,7,Lateral,No,11,Yes,No
36,married,Master Degree,Male,26,15-20 kms,Job Portals,9,17-06-2015,20-08-2015,62,7,Lateral,No,12,No,No
43,divorced,Bachelor Degree,Male,19,<15 kms,Job Portals,9,16-03-2016,07-06-2016,78,6,Vertical,Yes,19,Yes,No
33,single,Master Degree,Male,16,<15 kms,Job Portals,9,03-07-2015,16-10-2015,19,4,Lateral,Yes,9,No,Yes
45,married,Associate Degree,Male,18,> 20 kms,Job Portals,3,17-12-2015,23-01-2016,94,4,Vertical,No,21,Yes,No
35,single,Associate Certification,Male,26,<15 kms,Internal Referrals,8,01-02-2016,04-05-2016,19,6,Lateral,Yes,11,No,Yes
45,married,Bachelor Degree,Male,22,> 20 kms,Social Media,10,31-07-2015,16-11-2015,17,7,Lateral,Yes,21,No,Yes
42,married,Master Degree,Male,12,> 20 kms,Consultants,3,05-01-2016,13-02-2016,90,4,Vertical,Yes,18,Yes,No
37,married,Associate Certification,Male,20,> 20 kms,Social Media,10,04-03-2016,19-04-2016,64,3,Vertical,Yes,13,Yes,No
31,married,Associate Degree,Male,27,<15 kms,Company Website,3,02-01-2016,04-02-2016,86,5,Vertical,No,7,Yes,No
28,married,Associate Degree,Male,26,> 20 kms,Internal Referrals,8,14-06-2015,28-09-2015,27,4,Lateral,Yes,4,No,Yes
44,married,Master Degree,Male,26,<15 kms,Social Media,9,29-03-2016,25-06-2016,29,5,Lateral,Yes,20,No,Yes
28,married,Associate Degree,Male,26,15-20 kms,Job Portals,10,19-04-2015,27-05-2015,73,5,Vertical,No,4,No,No
45,single,Associate Certification,Male,20,15-20 kms,Social Media,7,14-09-2015,27-12-2015,44,4,Lateral,Yes,21,Yes,No
31,married,Associate Certification,Male,23,<15 kms,Internal Referrals,10,29-02-2016,13-05-2016,25,5,Lateral,Yes,7,No,Yes
44,married,Master Degree,Male,21,> 20 kms,Consultants,10,15-12-2015,30-03-2016,18,6,Lateral,Yes,20,No,Yes
43,married,Bachelor Degree,Male,25,<15 kms,Social Media,8,01-12-2015,05-03-2016,23,6,Lateral,Yes,19,No,Yes
41,married,Associate Degree,Male,24,> 20 kms,Consultants,10,08-02-2016,18-04-2016,24,6,Lateral,Yes,17,No,Yes
42,married,Associate Degree,Male,21,> 20 kms,Social Media,9,29-09-2015,19-01-2016,19,6,Lateral,Yes,18,No,Yes
37,divorced,Bachelor Degree,Male,16,15-20 kms,Social Media,10,08-11-2015,04-02-2016,45,4,Vertical,No,13,No,No
26,married,Associate Degree,Male,19,15-20 kms,Consultants,3,26-03-2016,29-06-2016,73,2,Lateral,Yes,2,No,No
39,married,Master Degree,Male,18,15-20 kms,Consultants,6,29-10-2015,14-01-2016,76,4,Lateral,No,15,No,No
38,married,Bachelor Degree,Male,10,> 20 kms,Social Media,8,05-03-2015,13-05-2015,63,6,Lateral,Yes,14,Yes,No
45,single,Master Degree,Male,33,> 20 kms,Social Media,10,06-01-2016,13-04-2016,24,8,Lateral,No,21,No,Yes
25,married,Associate Degree,Male,18,<15 kms,Social Media,10,21-08-2015,26-11-2015,27,1,Lateral,No,1,No,Yes
35,married,Associate Certification,Male,11,15-20 kms,Social Media,9,04-08-2015,06-09-2015,33,6,Vertical,Yes,11,No,No
27,married,Bachelor Degree,Male,27,> 20 kms,Internal Referrals,8,16-04-2015,12-07-2015,27,4,Lateral,Yes,3,No,Yes
45,married,Associate Degree,Male,26,> 20 kms,Job Portals,9,27-09-2015,29-12-2015,30,6,Lateral,No,21,No,Yes
41,married,Master Degree,Male,22,<15 kms,Consultants,9,18-07-2015,22-09-2015,20,4,Lateral,Yes,11,No,Yes
35,married,Master Degree,Male,25,> 20 kms,Social Media,10,20-11-2015,04-02-2016,24,7,Lateral,Yes,11,No,Yes
31,married,Associate Degree,Male,11,15-20 kms,Job Portals,3,12-01-2016,15-02-2016,55,4,Lateral,Yes,7,Yes,No
37,divorced,Master Degree,Male,23,<15 kms,Company Website,5,26-01-2016,01-03-2016,40,6,Lateral,No,13,Yes,No
29,married,Associate Certification,Male,12,> 20 kms,Consultants,3,16-05-2015,09-07-2015,86,3,Lateral,Yes,5,No,No
39,married,Associate Certification,Male,24,> 20 kms,Internal Referrals,9,11-03-2016,08-06-2016,20,7,Lateral,No,15,No,Yes
30,married,Associate Certification,Male,25,<15 kms,Consultants,8,20-11-2015,07-02-2016,29,5,Lateral,No,6,No,Yes
34,married,Associate Degree,Male,29,> 20 kms,Company Website,7,18-11-2015,12-01-2016,40,8,Vertical,No,10,No,No
44,married,Associate Degree,Male,24,> 20 kms,Consultants,9,24-02-2016,01-06-2016,24,8,Lateral,No,20,No,Yes
40,married,Associate Degree,Male,16,<15 kms,Consultants,9,21-05-2015,16-09-2015,22,6,Lateral,Yes,16,No,Yes
37,single,Associate Degree,Male,28,> 20 kms,Job Portals,9,15-02-2016,14-06-2016,17,7,Lateral,Yes,13,No,Yes
32,married,Associate Certification,Male,14,15-20 kms,Consultants,8,30-11-2015,30-12-2015,45,5,Vertical,No,8,No,No
42,single,Associate Degree,Male,22,<15 kms,Company Website,3,30-03-2016,30-05-2016,76,7,Lateral,Yes,18,No,No
33,married,Master Degree,Male,30,<15 kms,Consultants,9,26-02-2016,12-05-2016,28,5,Lateral,Yes,9,No,Yes
41,married,Bachelor Degree,Male,12,<15 kms,Job Portals,4,16-08-2015,16-11-2015,34,5,Vertical,No,17,No,No
26,married,Associate Certification,Male,22,<15 kms,Internal Referrals,8,16-09-2015,16-12-2015,28,1,Lateral,No,2,No,Yes
29,married,Associate Certification,Male,22,15-20 kms,Job Portals,6,01-01-2016,10-04-2016,91,3,Vertical,No,5,No,No
46,married,Associate Certification,Male,28,<15 kms,Social Media,10,22-03-2016,01-05-2016,55,7,Lateral,No,22,No,No
35,married,Associate Certification,Male,23,<15 kms,Consultants,8,29-01-2016,19-05-2016,26,7,Lateral,Yes,11,No,Yes
45,married,Master Degree,Male,21,> 20 kms,Internal Referrals,9,26-08-2015,10-12-2015,18,5,Lateral,Yes,21,No,Yes
43,single,Master Degree,Male,13,15-20 kms,Job Portals,4,26-12-2015,07-04-2016,91,5,Vertical,No,19,Yes,No
31,married,Associate Degree,Male,21,> 20 kms,Consultants,9,16-03-2015,08-06-2015,29,3,Lateral,Yes,7,No,Yes
28,married,Associate Certification,Male,30,> 20 kms,Job Portals,9,04-05-2015,17-07-2015,18,4,Lateral,No,4,No,Yes
34,married,Master Degree,Male,21,<15 kms,Company Website,7,18-12-2015,13-03-2016,54,3,Vertical,Yes,10,No,No
26,married,Associate Degree,Male,20,<15 kms,Internal Referrals,8,04-04-2015,27-06-2015,19,1,Lateral,No,2,No,Yes
37,divorced,Master Degree,Male,18,> 20 kms,Internal Referrals,10,29-02-2016,29-05-2016,25,5,Lateral,Yes,13,No,Yes
41,married,Master Degree,Male,26,> 20 kms,Consultants,3,22-06-2015,04-10-2015,67,5,Lateral,Yes,17,No,No
44,single,Associate Certification,Male,22,<15 kms,Consultants,8,13-07-2015,31-08-2015,44,6,Vertical,Yes,20,No,No
35,married,Bachelor Degree,Male,22,<15 kms,Internal Referrals,9,17-12-2015,12-04-2016,19,7,Lateral,Yes,11,No,Yes
35,married,Associate Degree,Male,18,<15 kms,Consultants,3,15-04-2015,25-06-2015,91,5,Lateral,Yes,11,Yes,No
29,married,Associate Degree,Male,17,<15 kms,Consultants,9,03-03-2016,02-04-2016,82,3,Lateral,Yes,5,Yes,No
28,single,Associate Certification,Male,29,<15 kms,Job Portals,8,21-01-2016,26-03-2016,16,3,Lateral,No,4,No,Yes
31,single,Associate Certification,Male,18,<15 kms,Social Media,10,19-07-2015,03-11-2015,38,3,Vertical,No,7,Yes,No
31,married,Bachelor Degree,Male,21,> 20 kms,Job Portals,8,28-09-2015,15-01-2016,16,4,Lateral,No,7,No,Yes
34,married,Master Degree,Male,19,> 20 kms,Social Media,9,26-03-2016,26-06-2016,26,5,Lateral,Yes,10,No,Yes
41,married,Associate Certification,Male,16,<15 kms,Social Media,9,16-03-2016,16-06-2016,17,7,Lateral,No,17,No,Yes
36,married,Associate Certification,Male,14,<15 kms,Job Portals,3,11-06-2015,13-08-2015,50,5,Lateral,Yes,12,Yes,No
45,married,Associate Degree,Male,20,> 20 kms,Consultants,9,28-05-2015,20-08-2015,25,8,Lateral,Yes,21,No,Yes
40,married,Associate Degree,Male,17,> 20 kms,Social Media,10,03-01-2016,25-03-2016,93,3,Vertical,No,16,Yes,No
32,single,Associate Degree,Male,24,<15 kms,Consultants,8,05-07-2015,12-09-2015,29,4,Lateral,Yes,8,No,Yes
31,married,Associate Degree,Male,10,15-20 kms,Company Website,7,29-12-2015,30-01-2016,92,3,Lateral,Yes,7,Yes,No
32,married,Associate Certification,Male,24,15-20 kms,Company Website,3,14-11-2015,31-01-2016,92,3,Lateral,No,8,Yes,No
43,married,Master Degree,Male,19,<15 kms,Company Website,7,22-12-2015,27-01-2016,59,8,Lateral,No,19,No,No
25,married,Associate Degree,Male,19,> 20 kms,Social Media,8,06-04-2015,30-07-2015,20,1,Lateral,Yes,1,No,Yes
40,married,Associate Degree,Male,28,> 20 kms,Internal Referrals,10,20-02-2016,04-05-2016,17,6,Lateral,Yes,16,No,Yes
28,married,Associate Certification,Male,13,15-20 kms,Job Portals,5,16-11-2015,02-01-2016,27,4,Lateral,Yes,4,No,No
35,married,Bachelor Degree,Male,23,> 20 kms,Consultants,9,25-11-2015,03-02-2016,28,7,Lateral,No,11,No,Yes
38,divorced,Master Degree,Male,25,> 20 kms,Social Media,8,19-03-2015,27-05-2015,23,6,Lateral,Yes,14,No,Yes
25,married,Associate Certification,Male,23,> 20 kms,Job Portals,4,29-07-2015,10-11-2015,34,2,Lateral,No,2,Yes,No
32,married,Associate Degree,Male,20,> 20 kms,Job Portals,10,17-12-2015,15-03-2016,30,3,Lateral,No,8,No,Yes
27,married,Associate Degree,Male,15,> 20 kms,Job Portals,3,02-04-2015,29-06-2015,36,3,Vertical,No,3,No,No
36,single,Master Degree,Male,17,<15 kms,Job Portals,10,17-05-2015,19-08-2015,28,5,Lateral,No,12,No,Yes
33,married,Associate Certification,Male,18,> 20 kms,Consultants,10,11-11-2015,24-02-2016,27,8,Lateral,Yes,9,No,Yes
44,married,Associate Degree,Male,16,15-20 kms,Company Website,7,04-04-2015,10-06-2015,71,8,Lateral,Yes,20,No,No
39,single,Master Degree,Male,25,<15 kms,Consultants,9,31-08-2015,10-12-2015,26,7,Lateral,No,15,No,Yes
33,married,Bachelor Degree,Male,24,> 20 kms,Job Portals,10,08-10-2015,03-01-2016,26,5,Lateral,Yes,9,No,Yes
28,married,Bachelor Degree,Male,24,> 20 kms,Consultants,9,24-05-2015,17-09-2015,19,5,Lateral,Yes,4,No,Yes
46,married,Associate Degree,Male,14,15-20 kms,Company Website,6,10-09-2015,30-10-2015,44,5,Vertical,Yes,22,No,No
34,single,Bachelor Degree,Male,19,15-20 kms,Social Media,3,10-05-2015,12-08-2015,59,6,Lateral,No,10,No,No
28,married,Associate Certification,Male,12,<15 kms,Social Media,3,08-06-2015,18-07-2015,31,4,Vertical,Yes,4,Yes,No
33,single,Associate Certification,Male,29,> 20 kms,Consultants,8,05-04-2015,27-07-2015,24,6,Lateral,No,9,No,Yes
42,married,Bachelor Degree,Male,12,<15 kms,Company Website,6,15-11-2015,26-01-2016,36,8,Lateral,No,18,No,No
41,single,Associate Degree,Male,19,<15 kms,Social Media,3,05-01-2016,02-04-2016,65,8,Vertical,Yes,17,No,No
41,married,Master Degree,Male,25,> 20 kms,Job Portals,3,03-08-2015,08-09-2015,50,3,Vertical,No,17,No,No
41,single,Associate Degree,Male,18,> 20 kms,Consultants,10,03-03-2015,15-06-2015,19,8,Lateral,Yes,17,No,Yes
32,married,Associate Degree,Male,13,<15 kms,Social Media,7,22-02-2016,03-05-2016,78,3,Vertical,Yes,8,Yes,No
34,divorced,Bachelor Degree,Male,11,> 20 kms,Job Portals,9,30-03-2015,24-05-2015,71,4,Vertical,No,10,No,No
43,married,Master Degree,Male,10,<15 kms,Social Media,9,04-05-2015,14-08-2015,63,7,Vertical,Yes,19,Yes,No
30,married,Associate Certification,Male,26,<15 kms,Consultants,9,01-02-2016,26-04-2016,30,5,Lateral,No,6,No,Yes
41,married,Bachelor Degree,Male,17,15-20 kms,Job Portals,8,09-02-2016,20-03-2016,35,6,Vertical,Yes,17,No,No
35,married,Bachelor Degree,Male,18,15-20 kms,Consultants,5,30-10-2015,03-12-2015,34,3,Lateral,Yes,11,Yes,No
28,single,Bachelor Degree,Male,25,> 20 kms,Consultants,9,17-10-2015,18-01-2016,22,3,Lateral,No,4,No,Yes
39,single,Master Degree,Male,19,> 20 kms,Consultants,8,23-08-2015,05-12-2015,21,3,Lateral,Yes,12,No,Yes
37,divorced,Bachelor Degree,Male,19,> 20 kms,Job Portals,9,16-11-2015,26-01-2016,18,8,Lateral,No,13,No,Yes
30,married,Associate Certification,Male,25,15-20 kms,Job Portals,10,11-05-2015,21-06-2015,74,4,Lateral,Yes,6,No,No
39,married,Master Degree,Male,16,<15 kms,Social Media,9,20-09-2015,18-12-2015,77,4,Lateral,No,15,No,No
37,married,Associate Degree,Male,12,<15 kms,Company Website,10,27-03-2016,21-05-2016,46,8,Lateral,No,13,No,No
30,married,Associate Certification,Male,24,<15 kms,Social Media,3,15-08-2015,26-10-2015,38,4,Lateral,Yes,6,No,No
34,married,Master Degree,Male,28,<15 kms,Consultants,8,25-03-2015,13-06-2015,17,5,Lateral,No,10,No,Yes
31,married,Bachelor Degree,Male,19,> 20 kms,Internal Referrals,8,08-06-2015,29-09-2015,15,5,Lateral,Yes,7,No,Yes
34,married,Master Degree,Male,20,15-20 kms,Company Website,4,21-02-2016,27-05-2016,61,4,Lateral,Yes,10,Yes,No
35,divorced,Master Degree,Male,20,<15 kms,Consultants,9,13-04-2015,11-07-2015,29,8,Lateral,Yes,11,No,Yes
27,married,Bachelor Degree,Male,22,> 20 kms,Job Portals,3,06-09-2015,30-11-2015,82,5,Lateral,No,6,Yes,No
37,married,Associate Degree,Male,13,15-20 kms,Job Portals,4,10-03-2016,27-06-2016,85,6,Vertical,Yes,13,No,No
33,married,Associate Certification,Male,25,<15 kms,Consultants,8,11-01-2016,02-04-2016,30,8,Lateral,No,9,No,Yes
39,divorced,Associate Degree,Male,13,15-20 kms,Social Media,7,11-08-2015,01-11-2015,92,6,Lateral,Yes,15,No,No
30,single,Associate Certification,Male,19,15-20 kms,Job Portals,4,16-04-2015,18-05-2015,42,4,Lateral,No,6,No,No
32,divorced,Associate Certification,Male,20,> 20 kms,Consultants,8,25-03-2016,22-06-2016,17,4,Lateral,No,8,No,Yes
33,single,Bachelor Degree,Male,13,> 20 kms,Job Portals,6,08-01-2016,05-04-2016,85,6,Lateral,Yes,9,Yes,No
35,married,Associate Certification,Male,30,> 20 kms,Consultants,8,11-09-2015,22-12-2015,28,3,Lateral,No,11,No,Yes
33,married,Associate Certification,Male,23,15-20 kms,Job Portals,8,14-11-2015,20-12-2015,58,3,Vertical,No,9,Yes,No
32,married,Bachelor Degree,Male,30,<15 kms,Consultants,9,25-05-2015,10-09-2015,19,4,Lateral,No,8,No,Yes
35,married,Associate Degree,Male,23,<15 kms,Internal Referrals,8,06-08-2015,07-11-2015,20,8,Lateral,Yes,11,No,Yes
38,divorced,Bachelor Degree,Male,15,<15 kms,Social Media,3,21-01-2016,23-04-2016,54,7,Lateral,Yes,14,No,No
25,single,Associate Degree,Male,27,> 20 kms,Consultants,9,17-03-2016,01-07-2016,24,2,Lateral,Yes,1,No,Yes
38,married,Associate Certification,Male,18,<15 kms,Consultants,3,17-04-2015,02-06-2015,26,3,Vertical,No,14,No,No
35,married,Master Degree,Male,18,15-20 kms,Job Portals,8,20-10-2015,27-11-2015,72,4,Lateral,Yes,11,No,No
39,married,Associate Degree,Male,19,> 20 kms,Job Portals,9,08-02-2016,06-06-2016,24,4,Lateral,No,15,No,Yes
33,single,Associate Degree,Male,18,<15 kms,Consultants,10,12-06-2015,18-09-2015,20,3,Lateral,Yes,9,No,Yes
39,married,Master Degree,Male,15,<15 kms,Company Website,4,23-10-2015,06-01-2016,69,3,Lateral,No,15,Yes,No
33,married,Associate Certification,Male,13,15-20 kms,Company Website,3,14-10-2015,15-11-2015,77,3,Vertical,Yes,9,No,No
38,married,Bachelor Degree,Male,15,> 20 kms,Social Media,3,17-11-2015,17-02-2016,32,8,Lateral,No,14,Yes,No
34,married,Master Degree,Male,26,> 20 kms,Consultants,8,23-02-2016,26-05-2016,30,3,Lateral,Yes,10,No,Yes
25,single,Bachelor Degree,Male,17,> 20 kms,Job Portals,8,29-10-2015,31-01-2016,36,1,Lateral,No,1,No,No
36,married,Associate Certification,Male,16,> 20 kms,Consultants,8,10-05-2015,27-07-2015,25,7,Lateral,Yes,12,No,Yes
35,married,Associate Degree,Male,20,15-20 kms,Social Media,5,14-11-2015,14-12-2015,54,6,Vertical,Yes,11,Yes,No
36,divorced,Bachelor Degree,Male,23,<15 kms,Internal Referrals,8,30-11-2015,02-03-2016,24,6,Lateral,No,12,No,Yes
30,married,Bachelor Degree,Male,17,15-20 kms,Company Website,5,16-07-2015,23-10-2015,47,5,Vertical,No,6,No,No
42,married,Bachelor Degree,Male,16,<15 kms,Job Portals,6,26-11-2015,29-12-2015,72,8,Lateral,Yes,18,Yes,No
43,married,Bachelor Degree,Male,18,> 20 kms,Job Portals,3,31-03-2016,06-05-2016,91,5,Lateral,No,19,Yes,No
30,married,Associate Degree,Male,18,> 20 kms,Consultants,9,22-04-2015,12-07-2015,20,4,Lateral,No,6,No,Yes
33,married,Associate Degree,Male,10,<15 kms,Consultants,3,20-04-2015,01-07-2015,36,8,Vertical,Yes,9,Yes,No
34,married,Bachelor Degree,Male,22,> 20 kms,Social Media,9,23-05-2015,27-08-2015,24,8,Lateral,No,10,No,Yes
41,married,Associate Certification,Male,19,<15 kms,Social Media,7,31-08-2015,08-10-2015,73,7,Vertical,No,17,No,No
33,single,Associate Degree,Male,18,15-20 kms,Job Portals,10,29-08-2015,23-10-2015,44,6,Lateral,No,9,Yes,No
32,married,Associate Certification,Male,28,> 20 kms,Internal Referrals,8,01-11-2015,12-01-2016,21,7,Lateral,No,8,No,Yes
45,married,Bachelor Degree,Male,15,> 20 kms,Company Website,9,22-10-2015,30-11-2015,56,3,Lateral,No,21,No,No
34,divorced,Master Degree,Male,28,> 20 kms,Consultants,9,28-10-2015,28-01-2016,25,4,Lateral,No,10,No,Yes
30,single,Bachelor Degree,Male,12,<15 kms,Job Portals,3,01-02-2016,18-05-2016,85,3,Vertical,No,6,No,No
25,married,Associate Certification,Male,14,<15 kms,Job Portals,6,02-01-2016,29-03-2016,60,2,Vertical,Yes,2,Yes,No
39,married,Bachelor Degree,Male,17,> 20 kms,Job Portals,3,25-10-2015,04-12-2015,39,7,Vertical,Yes,15,No,No
45,married,Associate Certification,Male,10,15-20 kms,Company Website,10,29-02-2016,29-05-2016,49,8,Vertical,Yes,21,Yes,No
36,married,Associate Degree,Male,18,> 20 kms,Consultants,6,17-02-2016,15-04-2016,37,4,Vertical,No,12,No,No
41,married,Associate Degree,Male,27,> 20 kms,Job Portals,10,01-03-2015,21-05-2015,24,8,Lateral,Yes,17,No,Yes
42,married,Associate Degree,Male,11,<15 kms,Consultants,3,03-05-2015,02-07-2015,31,6,Vertical,Yes,18,Yes,No
31,married,Bachelor Degree,Male,28,> 20 kms,Consultants,8,28-12-2015,26-03-2016,25,4,Lateral,Yes,7,No,Yes
46,married,Associate Degree,Male,21,> 20 kms,Job Portals,9,05-07-2015,27-09-2015,25,7,Lateral,No,22,No,Yes
44,married,Associate Certification,Male,22,> 20 kms,Social Media,4,11-03-2016,06-05-2016,70,7,Lateral,No,20,No,No
44,married,Master Degree,Male,23,<15 kms,Internal Referrals,8,09-10-2015,31-12-2015,16,7,Lateral,No,20,No,Yes
31,divorced,Associate Degree,Male,14,15-20 kms,Social Media,4,10-12-2015,19-01-2016,31,5,Lateral,No,7,No,No
29,married,Bachelor Degree,Male,16,> 20 kms,Job Portals,3,26-12-2015,19-02-2016,60,4,Lateral,No,5,Yes,No
33,single,Associate Degree,Male,21,> 20 kms,Internal Referrals,8,28-11-2015,24-02-2016,27,6,Lateral,Yes,9,No,Yes
26,married,Associate Degree,Male,23,> 20 kms,Consultants,10,16-10-2015,22-01-2016,16,1,Lateral,No,2,No,Yes
25,married,Bachelor Degree,Male,18,> 20 kms,Job Portals,3,08-02-2016,10-04-2016,81,1,Lateral,Yes,1,Yes,No
39,married,Associate Certification,Male,17,> 20 kms,Consultants,9,02-08-2015,17-11-2015,22,4,Lateral,No,15,No,Yes
39,married,Associate Certification,Male,16,> 20 kms,Consultants,10,17-05-2015,03-09-2015,26,4,Lateral,No,15,No,Yes
30,divorced,Associate Certification,Male,16,<15 kms,Job Portals,10,28-05-2015,24-09-2015,27,3,Lateral,Yes,6,No,Yes
25,married,Bachelor Degree,Male,26,> 20 kms,Consultants,8,08-07-2015,23-10-2015,20,1,Lateral,Yes,1,No,Yes
43,married,Bachelor Degree,Male,27,<15 kms,Consultants,10,03-03-2015,09-05-2015,19,7,Lateral,Yes,19,No,Yes
42,single,Bachelor Degree,Male,24,> 20 kms,Social Media,10,06-12-2015,16-03-2016,20,5,Lateral,No,18,No,Yes
33,married,Bachelor Degree,Male,19,> 20 kms,Consultants,10,30-08-2015,01-12-2015,28,7,Lateral,No,9,No,Yes
42,married,Bachelor Degree,Male,16,<15 kms,Consultants,10,20-07-2015,02-10-2015,29,5,Lateral,No,18,No,Yes
43,married,Associate Degree,Male,16,> 20 kms,Consultants,3,14-12-2015,24-03-2016,66,8,Vertical,No,19,Yes,No
46,married,Associate Degree,Male,25,> 20 kms,Internal Referrals,9,20-12-2015,15-03-2016,21,6,Lateral,No,22,No,Yes
44,married,Master Degree,Male,16,15-20 kms,Company Website,6,06-03-2016,09-04-2016,27,8,Lateral,No,20,Yes,No
26,married,Associate Certification,Male,24,<15 kms,Internal Referrals,8,30-05-2015,07-09-2015,16,2,Lateral,No,2,No,Yes
46,married,Associate Certification,Male,12,<15 kms,Job Portals,3,11-02-2016,21-03-2016,84,7,Vertical,Yes,22,Yes,No
41,married,Bachelor Degree,Male,19,> 20 kms,Consultants,4,20-11-2015,18-01-2016,50,8,Lateral,No,17,No,No
38,married,Bachelor Degree,Male,29,> 20 kms,Internal Referrals,8,31-12-2015,06-04-2016,18,4,Lateral,Yes,14,No,Yes
40,married,Associate Certification,Male,12,15-20 kms,Social Media,3,19-06-2015,05-08-2015,85,4,Vertical,No,16,Yes,No
28,married,Bachelor Degree,Male,21,> 20 kms,Job Portals,8,19-02-2016,20-05-2016,23,5,Lateral,Yes,4,No,Yes
35,married,Associate Certification,Male,28,<15 kms,Consultants,9,18-08-2015,11-12-2015,22,8,Lateral,Yes,11,No,Yes
29,married,Bachelor Degree,Male,25,> 20 kms,Social Media,3,26-10-2015,28-11-2015,53,5,Vertical,No,5,No,No
34,married,Associate Degree,Male,18,> 20 kms,Social Media,10,12-03-2016,04-06-2016,26,3,Lateral,Yes,6,No,Yes
25,married,Associate Degree,Male,26,> 20 kms,Company Website,9,24-12-2015,18-04-2016,17,2,Lateral,No,1,No,Yes
32,married,Associate Degree,Male,15,15-20 kms,Social Media,3,17-12-2015,24-03-2016,79,7,Lateral,Yes,8,No,No
31,single,Associate Degree,Male,16,<15 kms,Company Website,3,11-02-2016,03-05-2016,64,5,Lateral,Yes,7,No,No
37,single,Associate Degree,Male,19,> 20 kms,Consultants,9,26-02-2016,29-03-2016,37,3,Vertical,No,13,No,No
34,married,Associate Certification,Male,23,<15 kms,Internal Referrals,9,23-06-2015,03-09-2015,22,8,Lateral,No,10,No,Yes
44,single,Master Degree,Male,23,> 20 kms,Consultants,10,01-10-2015,12-12-2015,21,6,Lateral,Yes,20,No,Yes
